epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
53,2549.19,0.46114,0.32595,0.88507,0.67718,0.70956,0.71911,0.59717,0.72325,1.08432,0.98044,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852
54,2596.66,0.44655,0.32359,0.88557,0.75553,0.72319,0.77297,0.63668,0.71488,0.95913,0.97929,0.0014259,0.0004753,0.0014259,0.0004753,0.0014259,0.0004753,0.0014259,0.0004753
55,2645.67,0.47197,0.35176,0.89863,0.76531,0.76291,0.78068,0.65168,0.69553,0.87297,0.97101,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654
56,2694.3,0.47031,0.34973,0.90941,0.78662,0.69953,0.79438,0.66303,0.70942,0.89644,0.96717,0.0013665,0.0004555,0.0013665,0.0004555,0.0013665,0.0004555,0.0013665,0.0004555
57,2743.66,0.4491,0.32734,0.90625,0.75784,0.72314,0.77421,0.64155,0.70144,0.92652,0.9658,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456
58,2790.97,0.43114,0.31168,0.87414,0.81997,0.72217,0.7881,0.64846,0.7106,0.96407,0.97259,0.0013071,0.0004357,0.0013071,0.0004357,0.0013071,0.0004357,0.0013071,0.0004357
59,2838.54,0.43527,0.31558,0.89242,0.83835,0.71727,0.76831,0.64374,0.72229,1.01269,0.97663,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258
60,2885.31,0.44785,0.30731,0.89129,0.84775,0.69121,0.76899,0.63899,0.72443,1.02191,0.98233,0.0012477,0.0004159,0.0012477,0.0004159,0.0012477,0.0004159,0.0012477,0.0004159
61,2932.59,0.44105,0.31544,0.88896,0.76773,0.65595,0.76656,0.6398,0.7056,0.97315,0.98166,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406
62,2981.43,0.44897,0.32162,0.90218,0.67916,0.7163,0.75155,0.62181,0.70246,1.04106,0.98898,0.0011883,0.0003961,0.0011883,0.0003961,0.0011883,0.0003961,0.0011883,0.0003961
63,3027.15,0.44403,0.32039,0.89369,0.75554,0.68677,0.7485,0.62647,0.70773,1.05286,0.98382,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862
64,3075.08,0.41461,0.29955,0.87949,0.77641,0.68278,0.73991,0.61596,0.73042,1.06063,0.9839,0.0011289,0.0003763,0.0011289,0.0003763,0.0011289,0.0003763,0.0011289,0.0003763
65,3122.69,0.44398,0.31346,0.90018,0.71565,0.68766,0.74211,0.62115,0.73227,1.05559,0.98345,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664
66,3167.5,0.4275,0.29765,0.89102,0.72765,0.72551,0.74158,0.62757,0.7323,1.08669,0.98226,0.0010695,0.0003565,0.0010695,0.0003565,0.0010695,0.0003565,0.0010695,0.0003565
67,3214.83,0.42373,0.30272,0.8791,0.71627,0.71247,0.74774,0.63174,0.72618,1.03083,0.9816,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466
68,3262.34,0.41443,0.29407,0.88451,0.67407,0.73131,0.7507,0.62832,0.71817,0.99805,0.98371,0.0010101,0.0003367,0.0010101,0.0003367,0.0010101,0.0003367,0.0010101,0.0003367
69,3308.43,0.40221,0.28918,0.88054,0.67516,0.70272,0.74558,0.63398,0.72332,0.98499,0.98146,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268
70,3354.01,0.40454,0.28541,0.8739,0.83368,0.62062,0.77417,0.65304,0.7207,0.95429,0.9807,0.0009507,0.0003169,0.0009507,0.0003169,0.0009507,0.0003169,0.0009507,0.0003169
71,3401.22,0.40971,0.29427,0.87996,0.806,0.63314,0.7906,0.66841,0.72012,0.96162,0.97961,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307
72,3449.63,0.41692,0.28696,0.8855,0.71609,0.75169,0.79496,0.66968,0.7377,0.93666,0.97718,0.0008913,0.0002971,0.0008913,0.0002971,0.0008913,0.0002971,0.0008913,0.0002971
73,3494.81,0.39266,0.28469,0.87373,0.73576,0.78128,0.80398,0.67895,0.72761,0.89368,0.98062,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872
74,3543.88,0.38414,0.27583,0.88021,0.77059,0.80294,0.82248,0.69259,0.73883,0.83095,0.98882,0.0008319,0.0002773,0.0008319,0.0002773,0.0008319,0.0002773,0.0008319,0.0002773
75,3588.79,0.40854,0.30705,0.87724,0.73039,0.81001,0.8061,0.68124,0.73033,0.8574,0.99201,0.0008022,0.0002674,0.0008022,0.0002674,0.0008022,0.0002674,0.0008022,0.0002674
76,3632.46,0.41117,0.29069,0.88017,0.72953,0.76362,0.80557,0.67159,0.74472,0.8895,0.99262,0.0007725,0.0002575,0.0007725,0.0002575,0.0007725,0.0002575,0.0007725,0.0002575
77,3678.01,0.39089,0.28318,0.86938,0.73362,0.7143,0.80306,0.67859,0.74954,0.90525,0.99256,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476
78,3723.7,0.38635,0.28731,0.86385,0.71942,0.75338,0.78962,0.66702,0.73793,0.93645,0.99761,0.0007131,0.0002377,0.0007131,0.0002377,0.0007131,0.0002377,0.0007131,0.0002377
