epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
67,4327.77,0.19404,0.28575,0.08473,0.58526,0.53915,0.44694,0.35423,0.23144,0.73838,0.09348,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291
68,4391.39,0.17738,0.28185,0.08164,0.53815,0.51954,0.4282,0.34047,0.2331,0.74684,0.0929,0.00144343,0.000481144,0.00144343,0.000481144,0.00144343,0.000481144,0.00144343,0.000481144
69,4452.78,0.17957,0.25713,0.07745,0.59907,0.56532,0.45038,0.36299,0.2394,0.7631,0.09413,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997
70,4515.74,0.18045,0.28671,0.08277,0.57782,0.52255,0.43241,0.34698,0.23216,0.78735,0.09253,0.00135855,0.00045285,0.00135855,0.00045285,0.00135855,0.00045285,0.00135855,0.00045285
71,4579.68,0.17924,0.27125,0.07777,0.53664,0.47612,0.41305,0.32839,0.25687,0.78921,0.09763,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703
72,4641.87,0.18814,0.28895,0.07956,0.53708,0.50497,0.41811,0.33017,0.25833,0.76093,0.10024,0.00127367,0.000424556,0.00127367,0.000424556,0.00127367,0.000424556,0.00127367,0.000424556
73,4702.92,0.19375,0.28003,0.08737,0.58512,0.54188,0.4524,0.36286,0.25409,0.75368,0.09807,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409
74,4765.28,0.18159,0.2767,0.07493,0.66549,0.52263,0.45665,0.37112,0.25739,0.7526,0.0995,0.00118879,0.000396262,0.00118879,0.000396262,0.00118879,0.000396262,0.00118879,0.000396262
75,4826.85,0.18296,0.27593,0.08006,0.61032,0.50931,0.45793,0.36926,0.2428,0.77974,0.09833,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115
76,4890.75,0.17585,0.2721,0.07516,0.6214,0.50262,0.4607,0.36913,0.24841,0.76019,0.10209,0.0011039,0.000367967,0.0011039,0.000367967,0.0011039,0.000367967,0.0011039,0.000367967
77,4951.73,0.18157,0.271,0.08263,0.49961,0.4873,0.42105,0.33036,0.24591,0.77791,0.10129,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382
78,5014.44,0.17536,0.2707,0.0749,0.55908,0.45119,0.42155,0.33349,0.23979,0.76663,0.10012,0.00101902,0.000339673,0.00101902,0.000339673,0.00101902,0.000339673,0.00101902,0.000339673
79,5077.81,0.17643,0.26917,0.08141,0.41164,0.46779,0.40488,0.32263,0.23836,0.76756,0.09927,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526
80,5139.97,0.17557,0.26097,0.08082,0.41796,0.43866,0.39955,0.31672,0.23552,0.79308,0.09901,0.000934137,0.000311379,0.000934137,0.000311379,0.000934137,0.000311379,0.000934137,0.000311379
81,5202.24,0.18252,0.27678,0.08362,0.40963,0.46331,0.40281,0.31687,0.23748,0.7868,0.09906,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232
82,5264.05,0.16665,0.26863,0.07433,0.40326,0.44874,0.40213,0.31615,0.23551,0.81369,0.09795,0.000849255,0.000283085,0.000849255,0.000283085,0.000849255,0.000283085,0.000849255,0.000283085
83,5325.67,0.16663,0.25042,0.0734,0.49855,0.49267,0.42234,0.33403,0.23857,0.80354,0.09406,0.000806813,0.000268938,0.000806813,0.000268938,0.000806813,0.000268938,0.000806813,0.000268938
84,5389.66,0.17747,0.27006,0.0741,0.50592,0.49914,0.42282,0.33833,0.23782,0.80975,0.09927,0.000764372,0.000254791,0.000764372,0.000254791,0.000764372,0.000254791,0.000764372,0.000254791
