epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
90,5560.23,0.15148,0.24382,0.07624,0.84983,0.70749,0.6998,0.57877,0.28296,0.81884,0.12647,0.0001189,0.0001189,0.0001189
91,5636.29,0.11761,0.19835,0.04865,0.82596,0.65965,0.64072,0.53726,0.27862,0.79819,0.12387,0.000109,0.000109,0.000109
92,5696.38,0.11302,0.19389,0.04925,0.83178,0.6561,0.63786,0.53483,0.28689,0.82098,0.12144,9.91e-05,9.91e-05,9.91e-05
93,5755.47,0.11501,0.18622,0.04983,0.81705,0.65792,0.64849,0.53774,0.28428,0.84641,0.12002,8.92e-05,8.92e-05,8.92e-05
94,5817.6,0.10893,0.18685,0.04573,0.82151,0.65491,0.6468,0.53169,0.28822,0.82471,0.12146,7.93e-05,7.93e-05,7.93e-05
95,5876.28,0.10304,0.18684,0.04658,0.8615,0.6316,0.64603,0.53122,0.28668,0.84256,0.12329,6.94e-05,6.94e-05,6.94e-05
96,5936.41,0.10468,0.18346,0.04962,0.84445,0.6282,0.63957,0.536,0.28525,0.84135,0.12226,5.95e-05,5.95e-05,5.95e-05
97,5997.78,0.10314,0.17941,0.04663,0.86099,0.6332,0.64327,0.53493,0.28934,0.82384,0.12441,4.96e-05,4.96e-05,4.96e-05
98,6056.48,0.10846,0.18127,0.04453,0.81757,0.65457,0.64319,0.53795,0.29099,0.83719,0.1217,3.97e-05,3.97e-05,3.97e-05
99,6115.67,0.10627,0.17565,0.04486,0.79004,0.65634,0.64396,0.5369,0.28847,0.8406,0.12336,2.98e-05,2.98e-05,2.98e-05
100,6174,0.10314,0.1762,0.04414,0.8176,0.64644,0.64383,0.54003,0.28724,0.83594,0.12181,1.99e-05,1.99e-05,1.99e-05
