epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
56,2710.85,0.52044,0.36083,0.91639,0.81219,0.86388,0.87299,0.70851,0.74457,0.57885,0.95207,0.00195273,0.000650909,0.00195273,0.000650909,0.00195273,0.000650909,0.00195273,0.000650909
57,2757.95,0.49825,0.34281,0.91244,0.86132,0.81017,0.8843,0.71664,0.73647,0.56616,0.95284,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762
58,2805.17,0.4675,0.32298,0.88347,0.88185,0.80266,0.88396,0.71295,0.74108,0.56897,0.9572,0.00186785,0.000622615,0.00186785,0.000622615,0.00186785,0.000622615,0.00186785,0.000622615
59,2853.45,0.47786,0.3292,0.90285,0.83665,0.8876,0.89819,0.71881,0.74029,0.55417,0.96057,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468
60,2901.87,0.48515,0.32022,0.89593,0.86382,0.85201,0.90079,0.72305,0.74778,0.54606,0.95685,0.00178296,0.000594321,0.00178296,0.000594321,0.00178296,0.000594321,0.00178296,0.000594321
61,2949.91,0.48047,0.32444,0.89493,0.86688,0.83388,0.8926,0.72391,0.73981,0.55965,0.96099,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174
62,2998.09,0.4898,0.33394,0.90653,0.82784,0.85317,0.87596,0.71844,0.72722,0.59471,0.96352,0.00169808,0.000566027,0.00169808,0.000566027,0.00169808,0.000566027,0.00169808,0.000566027
63,3046.5,0.48244,0.32271,0.89835,0.8582,0.82143,0.87332,0.71342,0.74265,0.57002,0.97108,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188
64,3095.75,0.45665,0.31056,0.87868,0.84496,0.82143,0.8637,0.70351,0.72885,0.58947,0.96298,0.0016132,0.000537733,0.0016132,0.000537733,0.0016132,0.000537733,0.0016132,0.000537733
65,3143,0.49072,0.33661,0.90758,0.85088,0.83151,0.88134,0.7153,0.75123,0.5857,0.9667,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586
66,3192.74,0.46973,0.32579,0.90188,0.86742,0.83049,0.88216,0.71679,0.7447,0.55867,0.96458,0.00152832,0.000509438,0.00152832,0.000509438,0.00152832,0.000509438,0.00152832,0.000509438
67,3240.7,0.47722,0.32138,0.886,0.83332,0.86666,0.885,0.7218,0.74228,0.58343,0.9643,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291
68,3287.57,0.46242,0.31518,0.88817,0.89358,0.83277,0.90691,0.73088,0.73907,0.56545,0.96244,0.00144343,0.000481144,0.00144343,0.000481144,0.00144343,0.000481144,0.00144343,0.000481144
69,3334.9,0.43883,0.30686,0.87891,0.88287,0.83016,0.90325,0.73342,0.74479,0.55629,0.96298,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997
70,3382.56,0.45381,0.30803,0.89002,0.8304,0.85821,0.89846,0.72613,0.76181,0.55379,0.96762,0.00135855,0.00045285,0.00135855,0.00045285,0.00135855,0.00045285,0.00135855,0.00045285
71,3430.24,0.45271,0.30861,0.88899,0.85444,0.83772,0.88667,0.71911,0.75575,0.54775,0.97658,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703
